"Frequency Hz","Response db"
2967.04,-4.894057
2977.03,-4.914166
2987.02,-4.942966
2997.01,-4.961389
2998.0,-4.957613
3007.0,-4.989301
3016.99,-5.01226
3026.98,-5.033349
3036.97,-5.060687
3046.96,-5.07816
3056.95,-5.103104
3066.94,-5.125249
3076.93,-5.143881
3086.92,-5.170907
3096.91,-5.18889
3106.9,-5.212819
3116.89,-5.238488
3126.88,-5.257165
3136.87,-5.284922
3146.86,-5.30756
3156.85,-5.329017
3166.84,-5.35771
3176.83,-5.377875
3186.82,-5.401655
3196.81,-5.428831
3206.8,-5.447798
3216.79,-5.473893
3226.78,-5.498
3236.77,-5.517219
3246.76,-5.544441
3256.75,-5.567109
3266.74,-5.58672
3276.73,-5.614175
3286.72,-5.635351
3296.71,-5.656191
3306.7,-5.683881
3316.69,-5.704865
3326.68,-5.726226
3336.67,-5.754016
3346.66,-5.774703
3356.65,-5.796329
3366.64,-5.823625
3376.63,-5.844813
3386.62,-5.866523
3396.61,-5.894149
3406.6,-5.916184
3416.59,-5.937081
3426.58,-5.964384
3436.57,-5.987573
3446.56,-6.008414
3456.55,-6.035303
3466.54,-6.060064
3476.53,-6.080376
3486.52,-6.105283
3496.51,-6.132202
3506.5,-6.152729
3516.49,-6.176002
3526.48,-6.203755
3536.47,-6.226241
3546.46,-6.247273
3556.45,-6.273957
3566.44,-6.29861
3576.43,-6.318131
3586.42,-6.341786
3596.41,-6.368689
3606.4,-6.390098
3616.39,-6.410799
3626.38,-6.436106
3636.37,-6.461114
3646.36,-6.481125
3656.35,-6.504209
3666.34,-6.531163
3676.33,-6.555656
3686.32,-6.576354
3696.31,-6.60165
3706.3,-6.629689
3716.29,-6.65326
3726.28,-6.674558
3736.27,-6.699868
3746.26,-6.726628
3756.25,-6.748673
3766.24,-6.769075
3776.23,-6.792792
3786.22,-6.81881
3796.21,-6.840704
3806.2,-6.861268
3816.19,-6.886092
3826.18,-6.913985
3836.17,-6.938954
3846.16,-6.960844
3856.15,-6.985484
3866.14,-7.011638
3876.13,-7.035981
3886.12,-7.056278
3896.11,-7.077091
3906.1,-7.1012
3916.09,-7.127828
3926.08,-7.151604
3936.07,-7.17415
3946.06,-7.199071
3956.05,-7.225544
3966.04,-7.250916
3976.03,-7.271504
3986.02,-7.292085
3996.01,-7.315382
3997.0,-7.317638
4006.0,-7.341514
4015.99,-7.367873
4025.98,-7.391508
4035.97,-7.414327
4045.96,-7.437545
4055.95,-7.462113
4065.94,-7.485812
4075.93,-7.508215
4085.92,-7.530555
4095.91,-7.555304
4105.9,-7.582289
4115.89,-7.607753
4125.88,-7.630637
4135.87,-7.65072
4145.86,-7.672128
4155.85,-7.69731
4165.84,-7.724967
4175.83,-7.751311
4185.82,-7.774218
4195.81,-7.794548
4205.8,-7.814916
4215.79,-7.839343
4225.78,-7.866946
4235.77,-7.893856
4245.76,-7.917105
4255.75,-7.937961
4265.74,-7.958981
4275.73,-7.982829
4285.72,-8.009453
4295.71,-8.035701
4305.7,-8.059539
4315.69,-8.081365
4325.68,-8.103892
4335.67,-8.127842
4345.66,-8.152506
4355.65,-8.175733
4365.64,-8.199048
4375.63,-8.223429
4385.62,-8.249574
4395.61,-8.274905
4405.6,-8.296729
